"","female_not_hispanic","male_not_hispanic","not_reported_not_hispanic","female_hispanic","male_hispanic","not_reported_hispanic","female_unknown","male_unknown","not_reported_unknown"
"American Indian",0,0,0,0,0,0,0,0,0
"Asian",5,4,0,0,0,0,0,0,0
"Native Hawaiian or Pacific Islander",0,0,0,0,0,0,0,0,0
"Black or African American",12,5,0,0,0,0,0,0,0
"White",12,5,0,0,0,0,0,0,0
